date,avr_monthly_kiloprice
2012-Jan,20.80
2012-Feb,20.52
2012-Mar,20.92
2012-Apr,21.27
2012-May,22.41
2012-Jun,21.37
2012-Jul,22.69
2012-Aug,23.35
2012-Sep,25.19
2012-Oct,26.90
2012-Nov,26.47
2012-Dec,27.23
2013-Jan,30.11
2013-Feb,33.35
2013-Mar,33.18
2013-Apr,33.63
2013-May,36.40
2013-Jun,37.69
2013-Jul,37.32
2013-Aug,37.14
2013-Sep,36.18
2013-Oct,37.20
2013-Nov,38.39
2013-Dec,39.41
2014-Jan,41.47
2014-Feb,39.70
2014-Mar,38.37
2014-Apr,38.86
2014-May,39.21
2014-Jun,41.56
2014-Jul,42.74
2014-Aug,41.78
2014-Sep,40.94
2014-Oct,39.26
2014-Nov,34.61
2014-Dec,32.32
2015-Jan,30.13
2015-Feb,29.39
2015-Mar,30.36
2015-Apr,34.68
2015-May,34.41
2015-Jun,33.50
2015-Jul,31.47
2015-Aug,30.14
2015-Sep,30.19
2015-Oct,29.97
2015-Nov,28.45
2015-Dec,27.25
2016-Jan,24.88
2016-Feb,24.15
2016-Mar,25.68
2016-Apr,24.95
2016-May,26.73
2016-Jun,28.50
2016-Jul,28.45
2016-Aug,27.53
2016-Sep,27.96
2016-Oct,27.66
2016-Nov,26.00
2016-Dec,26.22
2017-Jan,26.31
2017-Feb,25.38
2017-Mar,25.30
2017-Apr,25.52
2017-May,27.71
2017-Jun,32.95
2017-Jul,33.91
2017-Aug,36.96
2017-Sep,35.38
2017-Oct,36.47
2017-Nov,37.03
2017-Dec,38.43
2018-Jan,42.62
2018-Feb,42.92
2018-Mar,42.30
2018-Apr,40.80
2018-May,40.43
2018-Jun,38.26
2018-Jul,37.09
2018-Aug,35.64
2018-Sep,33.11
2018-Oct,32.64
2018-Nov,31.82
2018-Dec,30.93
2019-Jan,30.57
2019-Feb,31.96
2019-Mar,31.38
2019-Apr,29.68
2019-May,29.66
2019-Jun,30.02
2019-Jul,28.52
2019-Aug,27.43
2019-Sep,27.45
2019-Oct,26.56
2019-Nov,26.65
2019-Dec,26.62
2020-Jan,28.95
2020-Feb,27.60
2020-Mar,23.36
2020-Apr,22.09
2020-May,24.27
2020-Jun,25.00
2020-Jul,24.34
2020-Aug,25.12
2020-Sep,25.76
2020-Oct,28.59
2020-Nov,33.47
2020-Dec,36.41
2021-Jan,41.01
2021-Feb,40.87
2021-Mar,39.06
2021-Apr,39.01
2021-May,38.82
2021-Jun,38.41
2021-Jul,38.29
2021-Aug,39.27
2021-Sep,39.10
2021-Oct,41.26
2021-Nov,43.03
2021-Dec,42.21
2022-Jan,44.95
2022-Feb,47.19
2022-Mar,47.21
2022-Apr,47.67
2022-May,52.56
2022-Jun,52.32
2022-Jul,51.47
2022-Aug,49.79
2022-Sep,49.48
2022-Oct,45.99
2022-Nov,44.92
2022-Dec,49.12
2023-Jan,52.25
2023-Feb,54.43
2023-Mar,55.08
2023-Apr,52.20
2023-May,52.34
